order	mean	sd	month
1	0.9999999999999998	0.40698088379220376	1
2	0.36163941270614464	0.18008142247093836	1
3	0.25617628472306075	0.12038266039836945	1
4	0.20903604055218858	0.09324287851419275	1
5	0.18150034265042536	0.0781662542823037	1
6	0.16291685827364302	0.06900822270665345	1
7	0.1491725442892544	0.06298940380968691	1
8	0.13836079574301996	0.05870767947629458	1
9	0.1294816797077415	0.05542372734665018	1
10	0.12196130234865478	0.052737331133793273	1
11	0.1154464664569879	0.05042732052506386	1
12	0.10970693279410101	0.04836906032201239	1
13	0.10458497286432074	0.04649070975579219	1
14	0.09996770717224429	0.0447495520917064	1
15	0.09577121282686014	0.043118998108075124	1
16	0.09193103376612358	0.04158138861497922	1
17	0.08839631504686159	0.04012400179511706	1
18	0.08512605566184829	0.038736855048262464	1
19	0.08208663497156553	0.03741151959124933	1
20	0.07925012484981231	0.03614050653076744	1
1	0.9999999999999998	0.4034793213161985	2
2	0.36837235865219903	0.16889948040883973	2
3	0.2656079907691235	0.11051903300734535	2
4	0.22074123824286937	0.086285914590762125	2
5	0.19462028614379007	0.07427775157183748	2
6	0.17674248801484796	0.06750498417071236	2
7	0.16323128484843677	0.06309755950851398	2
8	0.15236519710903443	0.05984411556980077	2
9	0.14326605232657427	0.05720949486478197	2
10	0.13543413346254876	0.054940365115431884	2
11	0.12855957670311205	0.05290693663075773	2
12	0.12243687029271302	0.051037246549347624	2
13	0.11692230021412622	0.04928835099246291	2
14	0.11191105127316545	0.047632894371967764	2
15	0.10732405470689196	0.046052447018230476	2
16	0.10310000719480825	0.04453399431528188	2
17	0.09919029625915478	0.04306797507556712	2
18	0.09555564243485623	0.04164712279936102	2
19	0.09216380074511658	0.04026574568095918	2
20	0.0889879413379451	0.03891925962821919	2
1	0.9999999999999998	0.3822606028888257	3
2	0.40324556689951685	0.16770719941532475	3
3	0.29783312680257523	0.11857431401349793	3
4	0.24757594117711518	0.09520025559619028	3
5	0.21703407005044223	0.0814628333875469	3
6	0.19595810942373007	0.07261530737710052	3
7	0.18022765873771315	0.06647454906190269	3
8	0.16786237624708142	0.06195017023592729	3
9	0.15778125455017666	0.058460624521983605	3
10	0.14933571109109195	0.055672928814081105	3
11	0.1421084328756694	0.053383403505294406	3
12	0.13581646882096954	0.05146037230030046	3
13	0.13026003504652844	0.04981469716693306	3
14	0.1252934217923927	0.048383561735504003	3
15	0.12080749637588685	0.04712105031562633	3
16	0.11671869833984504	0.04599246083165353	3
17	0.1129618576202514	0.044970775801618214	3
18	0.10948535590120574	0.044034421473889716	3
19	0.1062477727552068	0.043165811070801335	3
20	0.10321550059793652	0.04235037164155431	3
1	0.9999999999999998	0.3738100963080936	4
2	0.3877131864288217	0.17496039430890648	4
3	0.2765512131400308	0.11975432900623817	4
4	0.22472537136575466	0.09283810696487926	4
5	0.1939915407568666	0.07722293986363002	4
6	0.17325947246223353	0.06730439719314095	4
7	0.15810540552279584	0.060540522748693634	4
8	0.14641506628462084	0.055665954726596655	4
9	0.13703923819187366	0.05199833610725104	4
10	0.1292921417776688	0.04914079380837872	4
11	0.12273602129877757	0.04684751213483219	4
12	0.11707726844743978	0.04495855931015562	4
13	0.1121114092245886	0.04336577160907208	4
14	0.10769175400894182	0.04199367569129829	4
15	0.10371048533737685	0.040788248564578064	4
16	0.10008672249241254	0.039710002721299945	4
17	0.09675870890890523	0.03872956476637637	4
18	0.09367854271342084	0.037824747819221356	4
19	0.09080853372800632	0.036978553465962065	4
20	0.08811863298946315	0.0361777744307461	4
1	0.9999999999999998	0.3653770121807754	5
2	0.38310069533865615	0.16162721132187385	5
3	0.2759972564869371	0.10812241782586846	5
4	0.22780218061986524	0.08534898256715952	5
5	0.1995095372136064	0.0735368237044418	5
6	0.18029299630388917	0.06654397327033719	5
7	0.16602377319853093	0.061926915959828535	5
8	0.15479946099174038	0.058628577422306996	5
9	0.14561172476284293	0.056141810817707034	5
10	0.13786663812156463	0.05419202962959142	5
11	0.13118625537767245	0.05261300043711196	5
12	0.12531632298191123	0.051295286386707	5
13	0.1200787773652292	0.05016281882845785	5
14	0.11534512397675423	0.049160984456234146	5
15	0.11102046063340977	0.04824983983433861	5
16	0.10703336136304546	0.0473998628308591	5
17	0.10332920037705552	0.04658910618974984	5
18	0.09986560302754673	0.04580120514039636	5
19	0.09660926756892294	0.04502394441168707	5
20	0.09353370002879915	0.044248209716277735	5
1	1	0.3826284921739272	6
2	0.37926370190773995	0.16387629403713247	6
3	0.27453134664189205	0.1085329378708911	6
4	0.22772831738450455	0.08575408659689934	6
5	0.20025222248039945	0.0747914780957132	6
6	0.18144774380065498	0.06884871829105486	6
7	0.1672997271082846	0.06518997532047621	6
8	0.1559922060535554	0.06267111627633985	6
9	0.14658306513802047	0.06077943868367881	6
10	0.13852888521769316	0.05926312108274122	6
11	0.13148970220826117	0.05798664470566957	6
12	0.12523913019566985	0.056871085736716065	6
